recipe_tag	coefficient
bias	0.33267519055002576
alfredo	-0.11479680108460384
almond	0.021375117325645933
american	0.02251477920793792
appetizer	0.039006940419064384
appetizers	-0.028869990841361267
apple	0.018077483642433598
asiancuisine	0.0371692798827255
asparagus	0.08083849069537649
avocado	-0.06987190586842612
bacon	-0.3562410215452032
baked	0.1169921667105642
bakeddishes	0.04284671075967456
bakery	0.008891856677707966
baking	0.2030573747225932
beans	0.038153595866581624
beef	-0.023842619499508215
bellpeppers	0.07855284443221955
berries	0.0548173561746599
blackbeans	0.07855284443221955
blackvinegar	-0.0232719329601948
blueberry	-0.09998057299815966
boiledeggs	-0.03719560030321914
bokchoy	-0.03719560030321914
braided	0.015962654160312735
bread	0.00718745298111878
breaded	-0.03693872747677349
breakfast	-0.06466962160390677
breakfastpastry	0.00046277607000751164
brioche	-0.07976798665487653
broiling	-0.0013089832554121963
brownies	0.075582531104657
brownsugar	0.0060519809602524455
brunch	0.04778770185243908
burger	-0.030430852997533703
burritos	0.026337774455228783
buttery	0.06582543996045892
cake	0.05785273656695952
carrots	-0.03719560030321914
casserole	-0.1364588228653118
celebration	0.09671226160741993
cheese	0.09713398315829208
cheesy	0.004079449347629632
cherry	0.09922906111938386
chicken	-0.10659353506174366
chickpeas	-0.030430852997533703
chilioil	-0.04115870217590885
chilipowder	0.07855284443221955
chinese	0.07573802404052178
chinesecookingwine	-0.01788676921571405
chinesecuisine	-0.09022522497743984
chocolate	0.07874931379698485
chocolatechip	-0.04573379300553665
chocolatecroissant	0.00046277607000751164
christmas	-0.07078073104440902
cilantro	0.049051591963045704
cinnamon	0.048283230468386514
citrus	-0.035390365522204474
classic	-0.0026806381292736915
cloves	-0.031756235233304626
cobbler	0.027467780294184348
cocoapowder	0.05629828558233713
coffee	0.03346698415175196
cold	0.07573802404052178
coldnoodles	-0.02398622120388963
comfortfood	0.10203361805752571
condiment	0.0029596375543605447
cookies	-0.09050548611284454
corn	0.09671226160741993
cranberry	-0.09799517510232196
creamcheese	-0.09046006115337644
creamy	-0.011187319870505884
crisp	0.13844595350871255
crispy	-0.06775818356188032
croissant	0.03346698415175196
croissants	0.005887543381245294
crumble	0.03517516331035227
crust	-0.031756235233304626
cucumber	-0.02398622120388963
cumin	0.07855284443221955
cupcakes	0.03235068710615014
custard	-0.04196935811936877
custardy	0.03430485147726583
customizable	0.1255151367529715
danish	-0.09046006115337644
dashibroth	0.026596537751408966
dates	-0.022838841872178217
decadent	-0.017116613622652883
dessert	0.12486538952565257
dinner	0.012077215143748467
dip	-0.04660682448775215
donuts	-0.012464499896861315
easterneuropean	0.015962654160312735
easy	0.06678250706784705
easydinner	0.14942492640191937
egg	-0.0022246326398020094
eggs	-0.011814457591409047
eggwhites	-0.004349312990875972
fajitaseasoning	-0.09157734494072375
fall	0.016567293857572836
familyfriendly	0.01296610353660757
fastfood	-0.03693872747677349
fetacheese	0.03853703330960625
filling	0.10328750041945413
fingerfood	-0.033469805810179616
flaky	0.0429965589271461
french	0.0426968134714758
frenchcuisine	0.11636095112324044
frenchpastry	0.04282161689946744
fresh	-0.09977453677588792
fried	-0.09692099491492759
friedfood	0.11325207923051403
friedrice	-0.02222763633351736
fries	0.019454826773813928
frosting	0.09020342367310966
fruit	0.033957303819188336
fudgy	-0.03307926778296562
gamedayfood	0.034122736410579335
ganache	0.001554450984622393
garlic	0.03469954917952983
ginger	-0.01788676921571405
glutenfree	0.015737686019661024
goldenbrown	0.012967954894556618
greenbeans	0.0505524584145713
greenonion	0.052586318395243886
greenonions	-0.010857825847990357
grill	-0.030430852997533703
grilled	-0.07712690510255864
grilling	-0.0013089832554121963
groundbeef	-0.1879357893237567
gruyere	0.06926901816413826
gruyerecheese	-0.008115092300292781
guacamole	0.02512909535807742
hamandcheese	-0.09046006115337644
hamburger	-0.026512461627974476
handheld	0.1255151367529715
handtorndough	0.03503990593409618
hawaii	-0.026512461627974476
hawaiian	-0.05949799062855544
healthy	0.025927591138028935
herbs	0.007450248374138609
holiday	0.02593153056301091
homemade	0.060697526424396006
indulgent	0.03235068710615014
italian	0.10006372895476537
italiancuisine	-0.11479680108460384
jalapenos	0.019454826773813928
japanesecuisine	-0.04109495961318756
juicy	0.0026503497250727945
ketchup	-0.026512461627974476
keto	-0.06750823640082061
kidfriendly	-0.033469805810179616
koreancuisine	0.03503990593409618
laminateddough	0.008891856677707966
lasagna	-0.020856391941392903
lattice	-0.031756235233304626
lettuce	-0.031543506144681016
lime	0.06693836117875976
loadednachos	0.014667909636765411
lowcarb	-0.06750823640082061
lunch	0.012077215143748467
macandcheese	-0.04549217134777171
maple	-0.012464499896861315
maplesyrup	0.013228062660876562
masa	0.09671226160741993
mayonnaise	-0.026512461627974476
meal	-0.03693872747677349
mealprep	0.01306555208451347
meat	0.12606169339300605
meatsauce	-0.09735676512700679
mexican	0.12070939170375819
mexicancuisine	0.14114449231684756
mexicanfood	0.014667909636765411
middleeastern	-0.005371353728081358
miso	-0.03719560030321914
muffins	0.01306555208451347
mushroom	0.07042733246900382
mushrooms	-0.03719560030321914
nachos	-0.26021554712761563
noodles	0.021970194018949604
noodlesoup	-0.03719560030321914
nori	-0.05949799062855544
numbing	-0.0848400612329591
nutmeg	-0.02570425427305218
oat	-0.05061994293732214
oats	0.03326642501816539
onion	0.15438330870286784
onions	-0.013024500508504205
onthego	-0.05949799062855544
oven	0.00046277607000751164
oysters	0.007987327649073946
pacificislands	-0.026512461627974476
pancakes	0.013228062660876562
parmesan	0.06926901816413826
partyfood	-0.12171611790192471
pasta	0.037131521649396586
pastasauce	-0.09735676512700679
pastry	-0.06498801767745438
pastrycrust	-0.04241994377755861
peach	0.011451024807134412
peanutbutter	0.10948766919542953
peanutdressing	0.11374181948185902
peanuts	-0.0232719329601948
peppers	-0.09157734494072375
pickledvegetables	0.2245301398592363
pie	-0.009241456025366707
piecrust	0.03853703330960625
pork	-0.0232719329601948
porkbelly	-0.03719560030321914
potatoes	0.026337774455228783
protein	0.01306555208451347
puffpastry	0.00046277607000751164
quiche	0.0742343971901806
quick	-0.011963798003745387
ramen	-0.03719560030321914
refreshing	-0.023405498879409195
relish	-0.035390365522204474
rhubarb	-0.023405498879409195
rice	-0.05949799062855544
ricevinegar	0.052586318395243886
rich	-0.017116613622652883
ricotta	0.05781792815147294
salad	0.007362405432206856
salsa	0.04700385260042908
salty	-0.04549217134777171
sandwich	-0.0022246326398020094
sauce	-0.035390365522204544
savory	0.059011137598183286
scallions	-0.04115870217590885
scallops	-0.050614443474584166
seafood	-0.008896193146826237
sesame	0.07573802404052178
sesameoil	0.052586318395243886
sesameseeds	0.052586318395243886
shrimp	-0.0013089832554121963
sichuancuisine	-0.1081119941931539
sichuanpeppercorns	-0.04115870217590885
sidedish	0.035688713999435365
sidedishes	0.0505524584145713
skewers	-0.0013089832554121963
smoky	-0.06506945795621627
snack	0.11032320547783633
snacks	0.07000728518838523
sobanoodles	0.0371692798827255
soft	0.012967954894556618
souffle	0.05477990354484234
soup	0.004544008872718799
sourcream	0.025649455606347266
southern	-0.049246501617261594
southerncuisine	0.007987327649073946
soysauce	-0.04799562041740147
spam	-0.08601045225652991
spices	0.007450248374138609
spicy	0.10825129338752523
spicyfood	0.10526475158144008
spinach	0.0929475752153219
spring	0.05830492332543206
steamed	0.09671226160741993
stirfry	-0.06695329201724505
strawberry	-0.023405498879409195
streetfood	0.08207359379602673
stuffedpeppers	0.10526475158144008
summer	0.17042757787264698
sushi	-0.05949799062855544
sweet	0.04265889101473864
sweetandsalty	-0.04477169310730788
sweetandsavory	0.0007635627640152475
sweettreat	0.033929760221759475
taco	-0.06204513904328092
tacos	0.08744494752410809
tangy	-0.09418622992381821
tart	-0.035390365522204544
tea	0.03346698415175196
tempura	0.026596537751408966
tender	-0.023970772582216873
texmex	-0.09157734494072375
thanksgiving	-0.07078073104440902
toast	-0.0022246326398020094
tomato	0.020867454478226147
tomatoes	-0.03433826888059435
tomatosauce	-0.24270224218129655
tortilla	0.07855284443221955
tortillabowl	-0.06204513904328092
tortillachips	-0.04433427500637125
tortillas	-0.06523957048549497
traditional	0.09671226160741993
twisted	0.015962654160312735
udonnoodles	0.026596537751408966
vanilla	-0.004349312990875972
vanillaicecream	0.03326642501816539
vegan	-0.14573874205572793
vegetables	0.07111719292601087
vegetarian	0.3424025192689373
warm	0.00046277607000751164
whippedcream	0.03326642501816539
winter	0.016567293857572836
yeastdough	0.015962654160312735
