recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	1.0
ramen	7.270092635238739	0.0
quesadillas	7.235617062396761	1.0
ma-la-chicken	7.226414160425049	0.0
spamburger	6.990260770663341	0.0
pain-au-chocolat	6.96864330242587	0.5
chocolate-babka	6.9524564537305125	0.5
bacon-fried-rice	6.819614199140289	0.0
nacho-fries	6.784722525165608	0.0
cranberry-sauce	6.6536415976899	0.0
guacamole	6.4383545838665235	1.0
asparagus-quiche	6.409508253495643	1.0
asparagus-burger	6.406049631691842	0.75
strawberry-rhubarb-crisp	6.387673995135596	0.5
apple-pie	6.388472804341736	0.5
bacon-wrapped-asparagus	6.22264977505053	0.0
mushroom-quiche	6.183740912738349	1.0
brioche-bread	6.166933888739799	0.5
tamales	6.127665913082094	1.0
bacon-wrapped-chicken	6.067555503970388	0.0
tacos	6.046683979590474	1.0
cold-noodles-with-tomatoes	6.003791320509978	0.5
taco-salad	5.908458058178626	0.0
fajitas	5.873886838494018	0.0
cranberry-apple-crisp	5.8376049304057736	0.5
dan-dan-noodles	5.827364032754431	0.0
croissants	5.670149322396342	0.5
spam-musubi	5.568109220474767	0.0
bacon-mac-and-cheese	5.541534177706705	0.0
spinach-quiche	5.5198672082930145	1.0
chicken-nuggets	5.475434492195656	0.0
berry-crisp	5.389303224302672	1.0
chocolate-peanut-butter-cake	5.396846446098451	1.0
cold-soba-noodles-with-tomato-and-cucumber	5.339882446791183	0.5
souffle	5.323745845481258	1.0
croissant-aux-amandes	5.322933440421422	0.5
sujebi	5.274988466812545	0.5
quiche-lorraine	5.25967724894556	0.0
nacho-salad	5.252996276605831	0.0
nachos	5.202767454175297	1.0
bacon-wrapped-shrimp-skewers	5.179585439030125	0.0
vanilla-souffle	5.141179186727167	0.5
apple-crisp	5.108785211501927	1.0
spinach-and-ricotta-lasagna	5.084927501707565	1.0
enchiladas	5.071531302703269	1.0
cherry-pie	5.062801729625836	1.0
danishes	5.056170190669638	0.0
peanut-butter-cupcakes	4.975962005928168	1.0
brownies	4.957988347090496	0.5
nacho-dip	4.824535705263877	0.0
falafel	4.816446008158768	0.75
cold-sesame-noodles	4.780311641437684	1.0
spinach-and-feta-quiche	4.77278705173305	1.0
bolognese-sauce	4.75991161803031	0.0
brioche-bread-with-chocolate	4.742908704667819	0.5
pico-de-gallo	4.743301983575691	0.5
ma-la-beef	4.685690236829794	0.0
breakfast-burritos	4.670602522406221	0.0
udon	4.561062858405292	0.5
pickled-green-beans	4.539723591103066	0.75
burritos	4.545123970524575	1.0
fried-oysters	4.534183422217769	0.5
chicken-alfredo-lasagna	4.533306150355999	0.0
almond-chip-cookies	4.525271137918363	0.5
peach-crisp	4.464929672467443	1.0
tempura-udon	4.431509642016548	0.5
soba-noodle-salad-with-peanut-dressing	4.425910076106536	1.0
bacon-egg-muffins	4.419643499933193	0.0
bacon-wrapped-scallops	4.378402486671845	0.0
chiles-rellenos	4.384584265665186	1.0
peach-cobbler	4.327536158753892	0.5
pasta-primavera	4.26047120275027	1.0
nacho-casserole	4.2605160807850115	0.0
chicken-fingers	4.252974081559146	0.0
almond-croissants	4.2056035313974895	0.5
cranberry-relish	4.139607586164976	0.0
bacon-and-egg-breakfast-sandwich	4.125579172935599	0.0
maple-bacon-donuts	4.063841766160785	0.0
blueberry-crumble	4.034036010647419	0.5
french-toast	4.016102666051459	0.5
loaded-nachos	3.9765126864708678	0.0
lasagna	3.970812237395497	1.0
chocolate-cake	3.932908332871908	1.0
pickled-asparagus	3.904649191749231	1.0
classic-beef-lasagna	3.892336371623462	0.0
chocolate-croissants	3.7495026377873564	0.5
maple-bacon-pancakes	3.702582271859633	0.0
peanut-butter-brownies	3.689882268392221	1.0
cherry-cobbler	3.680345379929636	1.0
vegetarian-mushroom-lasagna	3.6381364808782575	1.0
bacon-wrapped-dates	3.6322490540479633	0.0
blueberry-crisp	3.5768911684721694	1.0
spinach-and-ricotta-stuffed-shells	3.474091837902236	1.0
bacon-chocolate-chip-cookies	3.418475930021408	0.0
chocolate-souffle	3.296281207252715	1.0
berry-crumble	3.194626965415367	1.0
cinnamon-babka	3.0950770192088637	0.5
vegetable-lasagna	3.0220040130079058	1.0
butter-croissants	2.8518170116624804	0.5
apple-crumble	2.8365705387949727	1.0
